rank	query_id	query_label	best_blast_reference	raw_blast_score	best_blast_outgroup	outgroup_blast_score	effective_blast_score	best_phylogeny_reference	tree_distance	raw_phylogeny_score	best_phylogeny_outgroup	outgroup_phylogeny_distance	outgroup_phylogeny_score	effective_phylogeny_score	best_structural_reference	raw_structural_score	best_structural_outgroup	outgroup_structural_score	effective_structural_score	best_combined_reference	rbp_score	n_valid_blast_hits	n_structural_hits
1	query2|unknown_host2|phage_test2	positive_control	YP_654148.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	0.9999999999999999	OUTGROUP_CAPSID_06|Enterobacter_phage_CC31|major_head_protein|YP_004010035.1|OUTGROUP	0.31148	0.9688519999999999	YP_654148.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	0.0	1.0	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	1.52298	0.39635668931184553	0.9405464966032232	YP_654148.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	1.0	NA	0.0	1.0	YP_654148.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	0.9742348241508058	5	39
2	query5|Klebsiella_pneumoniae|Klebsiella_phage_K5	pharbp_candidate	YP_003347556.1|Klebsiella|Bacteriophage_KP32|Podo|RBP	0.9531314999999999	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.32432	0.9206994999999999	YP_003347556.1|Klebsiella|Bacteriophage_KP32|Podo|RBP	0.10593	0.9042163608908339	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	2.49275	0.28630735094123544	0.8612702582496485	YP_003347556.1|Klebsiella|Bacteriophage_KP32|Podo|RBP	0.7517394343649946	OUTGROUP_CAPSID_04|Escherichia_phage_IME08|major_head_protein|YP_003734314.1|OUTGROUP	0.17691498227963873	0.7163564379090668	YP_003347556.1|Klebsiella|Bacteriophage_KP32|Podo|RBP	0.8241049647260388	1	39
3	query3|bacillus_subtilis|Bacillus_phage_Chedec_11	pharbp_candidate	pdb_00006iab|Staphylococcus|Bacteriophage_P68|Sipho|RBP	0.6700024207221575	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.6200024207221575	pdb_00006iab|Staphylococcus|Bacteriophage_P68|Sipho|RBP	1.16625	0.46162723600692446	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.42600717383804265	pdb_00006iab|Staphylococcus|Bacteriophage_P68|Sipho|RBP	0.4274821407052986	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.385957851649531	pdb_00006iab|Staphylococcus|Bacteriophage_P68|Sipho|RBP	0.47788578137207816	1	49
4	query1|unknown_host1|phage_test1	random_candidate	NA	0.0	NA	0.0	0.0	YP_654148.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	2.2022500000000003	0.3122804278241861	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	1.49069	0.4014951680056531	0.25205615262333814	P12528|Salmonella|Bacteriophage_P22|Podo|RBP	0.6643554612546125	NA	0.0	0.6643554612546125	P12528|Salmonella|Bacteriophage_P22|Podo|RBP	0.3180104060362886	0	16
5	query4|unknown_host|Lactobacillus_phage_ViSo_2018a	pharbp_candidate	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	Q858F5|Salmonella|Bacteriophage_epsilon15|Podo|RBP	2.12326	0.32017827526366677	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.2897200619018516	pdb_00005efv|Staphylococcus|Bacteriophage_11|Sipho|RBP	0.4426254612546125	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.40236252975084463	pdb_00005efv|Staphylococcus|Bacteriophage_11|Sipho|RBP	0.18812115079724567	0	46
6	query6|Escherichia|Escherichia_phage_phiC120	outgroup	NA	0.0	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	1.0	0.0	YP_654148.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	1.5286499999999998	0.39546793743697234	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.0	1.0	0.24546793743697234	P49714|Escherichia|Bacteriophage_K1E|Podo|RBP	0.2675646209704038	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	1.0	0.06756462097040378	P49714|Escherichia|Bacteriophage_K1E|Podo|RBP	0.08823395666700798	0	22
