qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
query1|unknown_host1|phage_test1|label=random	Q775D6|Bordetella|Bacteriophage_BPP-1|Podo|RBP	29.268	41	26	1	22	59	30	70	0.49	23.9	294
query1|unknown_host1|phage_test1|label=random	AVZ45096|Escherichia|Bacteriophage_EP335|Podo|RBP	55.556	9	4	0	39	47	555	563	46	17.7	294
query1|unknown_host1|phage_test1|label=random	P07627|Enterobacteria|Bacteriophage_Ox2|Sipho|RBP	27.778	36	22	1	7	42	95	126	86	16.5	294
query1|unknown_host1|phage_test1|label=random	P03744|Enterobacteria|Bacteriophage_T4|Myo|RBP	53.846	13	6	0	32	44	557	569	91	16.9	294
query1|unknown_host1|phage_test1|label=random	AEL79676.1|Escherichia|Bacteriophage_vB_EcoP_G7C|Podo|RBP	54.545	11	5	0	32	42	361	371	94	16.5	294
query1|unknown_host1|phage_test1|label=random	pdb_00007qlr|Clostridium|Bacteriophage_C._difficile|Sipho|RBP	54.545	11	5	0	37	47	196	206	179	15.8	294
query1|unknown_host1|phage_test1|label=random	YP_009880322.1|Escherichia|Bacteriophage_ep75|Sipho|RBP	33.333	15	10	0	83	97	302	316	253	15.4	294
query1|unknown_host1|phage_test1|label=random	pdb_0000q0pdk6|Bacillus|Bacteriophage_SPP1|Sipho|RBP	50.000	12	6	0	32	43	982	993	390	14.6	294
query1|unknown_host1|phage_test1|label=random	pdb_00005efv|Staphylococcus|Bacteriophage_11|Sipho|RBP	50.000	8	4	0	37	44	361	368	553	14.2	294
query1|unknown_host1|phage_test1|label=random	pdb_00008xci|Escherichia|Bacteriophage_lambda|Sipho|RBP	53.846	13	5	1	22	33	150	162	790	13.9	294
query1|unknown_host1|phage_test1|label=random	P03748|Escherichia|Bacteriophage_T7|Podo|RBP	29.167	24	14	1	22	45	145	165	957	13.5	294
query1|unknown_host1|phage_test1|label=random	APZ82848.1|Klebsiella|Bacteriophage_K5-4|Myo|RBP	27.500	40	24	2	16	50	513	552	980	13.5	294
query2|unknown_host2|phage_test2|label=positive	YP_654148.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	100.000	811	0	0	1	811	1	811	0.0	1692	811
query2|unknown_host2|phage_test2|label=positive	P49714|Escherichia|Bacteriophage_K1E|Podo|RBP	97.657	811	19	0	1	811	1	811	0.0	1658	811
query2|unknown_host2|phage_test2|label=positive	Q04830|Escherichia|Bacteriophage_K1F|Podo|RBP	72.115	832	171	8	22	802	234	1055	0.0	1199	811
query2|unknown_host2|phage_test2|label=positive	CBY99572.1|Escherichia|Bacteriophage_phi92|Myo|RBP	46.272	845	380	10	35	807	72	914	0.0	755	811
query2|unknown_host2|phage_test2|label=positive	YP_009168860.1|Escherichia|Bacteriophage_K1H|Podo|RBP	46.520	819	389	10	35	806	163	979	0.0	743	811
query2|unknown_host2|phage_test2|label=positive	O09496|Escherichia|Bacteriophage_K5|Podo|RBP	32.941	170	90	4	661	806	459	628	2.05e-17	78.6	811
query2|unknown_host2|phage_test2|label=positive	YP_654147.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	32.749	171	91	4	661	807	459	629	3.19e-17	77.8	811
query2|unknown_host2|phage_test2|label=positive	AEM91898.1|Escherichia|Bacteriophage_Cba120|Sipho|RBP	46.429	56	25	2	10	60	175	230	4.17e-06	42.0	811
query2|unknown_host2|phage_test2|label=positive	Q9XJP3|Shigella|Bacteriophage_Sf6|Podo|RBP	26.984	63	46	0	6	68	135	197	7.65e-04	34.7	811
query2|unknown_host2|phage_test2|label=positive	APZ82848.1|Klebsiella|Bacteriophage_K5-4|Myo|RBP	45.652	46	20	2	31	71	36	81	0.002	33.1	811
query2|unknown_host2|phage_test2|label=positive	P07537|Bacillus|Bacteriophage_PZA|Podo|RBP	39.130	46	28	0	13	58	86	131	0.004	32.3	811
query2|unknown_host2|phage_test2|label=positive	P20345|Bacillus|Bacteriophage_phi-29|Podo|RBP	39.130	46	28	0	13	58	86	131	0.006	32.0	811
query2|unknown_host2|phage_test2|label=positive	P0DJY6|Escherichia|Bacteriophage_Mu|Myo|RBP	31.034	29	20	0	141	169	43	71	0.31	26.2	811
query2|unknown_host2|phage_test2|label=positive	OUTGROUP_CAPSID_06|Enterobacter_phage_CC31|major_head_protein|YP_004010035.1|OUTGROUP	31.148	61	32	2	717	769	253	311	0.92	24.6	811
query2|unknown_host2|phage_test2|label=positive	YP_512279.1|Escherichia|Bacteriophage_phiV10|Sipho|RBP	22.400	125	82	4	258	367	735	859	1.8	23.9	811
query2|unknown_host2|phage_test2|label=positive	OUTGROUP_CAPSID_03|Escherichia_phage_vB_EcoM_VR25|major_head_protein|YP_009209931.1|OUTGROUP	29.508	61	33	2	717	769	252	310	3.5	22.7	811
query2|unknown_host2|phage_test2|label=positive	OUTGROUP_CAPSID_04|Escherichia_phage_IME08|major_head_protein|YP_003734314.1|OUTGROUP	29.508	61	33	2	717	769	255	313	3.7	22.7	811
query2|unknown_host2|phage_test2|label=positive	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	29.508	61	33	2	717	769	254	312	4.3	22.7	811
