query_id	reference_rbp_id	blast_present	pident	coverage	evalue	bitscore	raw_blast_score	best_blast_outgroup	outgroup_blast_score	effective_blast_score	tree_distance	raw_phylogeny_score	best_phylogeny_outgroup	outgroup_phylogeny_distance	outgroup_phylogeny_score	effective_phylogeny_score	structure_present	foldseek_evalue	foldseek_bits	alntmscore	qtmscore	ttmscore	rmsd	raw_structural_score	best_structural_outgroup	outgroup_structural_score	effective_structural_score	rbp_score
query3|bacillus_subtilis|Bacillus_phage_Chedec_11	pdb_00006iab|Staphylococcus|Bacteriophage_P68|Sipho|RBP	yes	33.278	0.7053990610328639	2.39e-100	319.0	0.6700024207221575	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.6200024207221575	1.16625	0.46162723600692446	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.42600717383804265	yes	0.4571	40.0	0.6268	0.408	0.5214	4.643	0.4274821407052986	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.385957851649531	0.47788578137207816
query3|bacillus_subtilis|Bacillus_phage_Chedec_11	pdb_00005efv|Staphylococcus|Bacteriophage_11|Sipho|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.0	1.53062	0.39516007934814396	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.3595400171792621	yes	0.4311	37.0	0.5101	0.3881	0.4938	5.61	0.3773371860816944	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.33581289702592687	0.22421016310518627
query3|bacillus_subtilis|Bacillus_phage_Chedec_11	pdb_00002fsd|Lactococcus|Bacteriophage_bIL170|Sipho|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.0	4.7896600000000005	0.17272171422846935	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.13710165205958752	yes	0.3493	11.0	0.7706	0.1146	0.6112	2.682	0.34279830526887556	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.301274016213108	0.1547850195001401
query3|bacillus_subtilis|Bacillus_phage_Chedec_11	YP_009168860.1|Escherichia|Bacteriophage_K1H|Podo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.0	4.62023	0.17792866128254536	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.14230859911366353	yes	0.2979	31.0	0.4179	0.3255	0.2888	7.087	0.3128510498330654	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.2713267607772978	0.144107854089335
query3|bacillus_subtilis|Bacillus_phage_Chedec_11	P07537|Bacillus|Bacteriophage_PZA|Podo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.0	2.22816	0.30977398889770025	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.27415392672881844	yes	0.2057	20.0	0.3362	0.2155	0.2151	8.633	0.22937196408180213	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.18784767502603456	0.14367755169261842
query3|bacillus_subtilis|Bacillus_phage_Chedec_11	P20345|Bacillus|Bacteriophage_phi-29|Podo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.0	2.23107	0.3094949970133733	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.27387493484449144	yes	0.2006	20.0	0.3391	0.2101	0.2097	8.447	0.22795074203450832	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.18642645297874075	0.14303931490261917
query3|bacillus_subtilis|Bacillus_phage_Chedec_11	P0DTN7|Klebsiella|Bacteriophage_B1|Podo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.0	2.9714	0.2518003726645515	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.2161803104956697	yes	0.2519	25.0	0.3177	0.2699	0.2571	8.727	0.25082132414927516	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.20929703509350758	0.13776389166132047
query3|bacillus_subtilis|Bacillus_phage_Chedec_11	AEL79676.1|Escherichia|Bacteriophage_vB_EcoP_G7C|Podo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.0	3.80653	0.20805029824010252	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.17243023607122068	yes	0.2691	29.0	0.3402	0.3054	0.256	8.573	0.27565209234304816	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.23412780328728058	0.1367586803327174
query3|bacillus_subtilis|Bacillus_phage_Chedec_11	YP_009788589.1|Klebsiella|Bacteriophage_K5-2|Myo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.0	4.7164	0.174935273948639	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.13931521177975717	yes	0.2738	26.0	0.3707	0.2769	0.289	6.798	0.2753076019492177	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.23378331289345014	0.12834212810231935
query3|bacillus_subtilis|Bacillus_phage_Chedec_11	AUV56907.1|Staphylococcus|Bacteriophage_vB_SauM_LM12|Myo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.5	0.0	4.53842	0.18055690973237853	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.2111100000000006	0.2374670811258789	0.1449368475634967	yes	0.2956	22.0	0.4258	0.2342	0.3872	6.968	0.2699404016064257	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	0.20762144527883786	0.2284161125506581	0.12760065691113742
