query	target	evalue	bits	alntmscore	qtmscore	ttmscore	rmsd
query2_unknown_host2_phage_test2	YP_654148.1_Escherichia_Bacteriophage_K1-5_Podo_RBP	1.000E+00	100	1.001E+00	1.000E+00	1.000E+00	0.000E+00
query2_unknown_host2_phage_test2	P49714_Escherichia_Bacteriophage_K1E_Podo_RBP	7.355E-01	73	7.523E-01	7.440E-01	7.440E-01	4.566E+00
query2_unknown_host2_phage_test2	CBY99572.1_Escherichia_Bacteriophage_phi92_Myo_RBP	6.399E-01	67	7.912E-01	6.828E-01	6.062E-01	3.961E+00
query2_unknown_host2_phage_test2	YP_009168860.1_Escherichia_Bacteriophage_K1H_Podo_RBP	6.300E-01	68	7.957E-01	6.942E-01	5.801E-01	4.792E+00
query2_unknown_host2_phage_test2	Q04830_Escherichia_Bacteriophage_K1F_Podo_RBP	5.989E-01	67	7.428E-01	6.818E-01	5.242E-01	3.465E+00
query2_unknown_host2_phage_test2	pdb_00006iab_Staphylococcus_Bacteriophage_P68_Sipho_RBP	3.729E-01	33	4.677E-01	3.497E-01	4.206E-01	6.407E+00
query2_unknown_host2_phage_test2	pdb_00005efv_Staphylococcus_Bacteriophage_11_Sipho_RBP	3.685E-01	33	5.204E-01	3.454E-01	4.175E-01	6.700E+00
query2_unknown_host2_phage_test2	YP_009788589.1_Klebsiella_Bacteriophage_K5-2_Myo_RBP	3.116E-01	31	3.957E-01	3.219E-01	3.222E-01	6.677E+00
query2_unknown_host2_phage_test2	YP_654147.1_Escherichia_Bacteriophage_K1-5_Podo_RBP	2.784E-01	25	4.119E-01	2.605E-01	3.194E-01	7.093E+00
query2_unknown_host2_phage_test2	O09496_Escherichia_Bacteriophage_K5_Podo_RBP	2.776E-01	25	4.096E-01	2.618E-01	3.195E-01	7.678E+00
query2_unknown_host2_phage_test2	AEL79676.1_Escherichia_Bacteriophage_vB_EcoP_G7C_Podo_RBP	2.612E-01	28	3.354E-01	3.024E-01	2.446E-01	8.786E+00
query2_unknown_host2_phage_test2	pdb_00002fsd_Lactococcus_Bacteriophage_bIL170_Sipho_RBP	2.607E-01	10	4.720E-01	1.074E-01	4.624E-01	4.436E+00
query2_unknown_host2_phage_test2	AUV56907.1_Staphylococcus_Bacteriophage_vB_SauM_LM12_Myo_RBP	2.462E-01	19	3.329E-01	2.017E-01	3.171E-01	7.313E+00
query2_unknown_host2_phage_test2	YP_004782195.1_Escherichia_Bacteriophage_vB_EcoP_G7C_Podo_RBP	2.419E-01	24	2.665E-01	2.582E-01	2.492E-01	8.517E+00
query2_unknown_host2_phage_test2	pdb_00005e7f_Lactococcus_Bacteriophage_Tuc2009_Sipho_RBP	2.385E-01	11	4.046E-01	1.143E-01	4.029E-01	5.498E+00
query2_unknown_host2_phage_test2	YP_003347556.1_Klebsiella_Bacteriophage_KP32_Podo_RBP	2.369E-01	20	2.897E-01	2.178E-01	2.831E-01	8.118E+00
query2_unknown_host2_phage_test2	YP_006382457.1_Escherichia_Bacteriophage_vB_EcoS_AKFV33_Sipho_RBP	2.348E-01	20	2.839E-01	2.158E-01	2.786E-01	7.866E+00
query2_unknown_host2_phage_test2	APZ82848.1_Klebsiella_Bacteriophage_K5-4_Myo_RBP	2.341E-01	21	2.904E-01	2.303E-01	2.624E-01	8.418E+00
query2_unknown_host2_phage_test2	pdb_00001zru_Lactococcal_Bacteriophage_P2_Myo_RBP	2.298E-01	13	3.570E-01	1.439E-01	3.490E-01	6.614E+00
query2_unknown_host2_phage_test2	AEM91898.1_Escherichia_Bacteriophage_Cba120_Sipho_RBP	2.286E-01	20	2.852E-01	2.166E-01	2.641E-01	8.246E+00
query2_unknown_host2_phage_test2	Q9XJP3_Shigella_Bacteriophage_Sf6_Podo_RBP	2.285E-01	20	2.676E-01	2.144E-01	2.646E-01	7.825E+00
query2_unknown_host2_phage_test2	pdb_00002f0c_Lactococcus_Bacteriophage_P335_Sipho_RBP	2.252E-01	11	4.459E-01	1.159E-01	3.723E-01	5.604E+00
query2_unknown_host2_phage_test2	P07627_Enterobacteria_Bacteriophage_Ox2_Sipho_RBP	2.245E-01	12	4.191E-01	1.261E-01	3.606E-01	6.022E+00
query2_unknown_host2_phage_test2	P12528_Salmonella_Bacteriophage_P22_Podo_RBP	2.237E-01	20	3.254E-01	2.187E-01	2.535E-01	8.489E+00
query2_unknown_host2_phage_test2	QQG32074.1_Salmonella_Bacteriophage_vB_CkoM_CkP1_Myo_RBP	2.215E-01	20	3.159E-01	2.156E-01	2.501E-01	7.876E+00
