seq_id	accession	host	phage	morphotype	role	length
YP_004782195.1|Escherichia|Bacteriophage_vB_EcoP_G7C|Podo|RBP	YP_004782195.1	Escherichia	Bacteriophage_vB_EcoP_G7C	Podo	RBP	851
YP_009168860.1|Escherichia|Bacteriophage_K1H|Podo|RBP	YP_009168860.1	Escherichia	Bacteriophage_K1H	Podo	RBP	984
Q04830|Escherichia|Bacteriophage_K1F|Podo|RBP	Q04830	Escherichia	Bacteriophage_K1F	Podo	RBP	1064
AEM91897.1|Escherichia|Bacteriophage_Cba120|Sipho|RBP	AEM91897.1	Escherichia	Bacteriophage_Cba120	Sipho	RBP	921
AEM91898.1|Escherichia|Bacteriophage_Cba120|Sipho|RBP	AEM91898.1	Escherichia	Bacteriophage_Cba120	Sipho	RBP	627
AEM91899.1|Escherichia|Bacteriophage_Cba120|Sipho|RBP	AEM91899.1	Escherichia	Bacteriophage_Cba120	Sipho	RBP	1036
YP_009880322.1|Escherichia|Bacteriophage_ep75|Sipho|RBP	YP_009880322.1	Escherichia	Bacteriophage_ep75	Sipho	RBP	754
NP_112089.1|Enterobacteria|Bacteriophage_HK620|Sipho|RBP	NP_112089.1	Enterobacteria	Bacteriophage_HK620	Sipho	RBP	121
YP_512279.1|Escherichia|Bacteriophage_phiV10|Sipho|RBP	YP_512279.1	Escherichia	Bacteriophage_phiV10	Sipho	RBP	875
CBY99572.1|Escherichia|Bacteriophage_phi92|Myo|RBP	CBY99572.1	Escherichia	Bacteriophage_phi92	Myo	RBP	918
YP_654148.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	YP_654148.1	Escherichia	Bacteriophage_K1-5	Podo	RBP	811
YP_009788589.1|Klebsiella|Bacteriophage_K5-2|Myo|RBP	YP_009788589.1	Klebsiella	Bacteriophage_K5-2	Myo	RBP	810
APZ82848.1|Klebsiella|Bacteriophage_K5-4|Myo|RBP	APZ82848.1	Klebsiella	Bacteriophage_K5-4	Myo	RBP	684
YP_003347556.1|Klebsiella|Bacteriophage_KP32|Podo|RBP	YP_003347556.1	Klebsiella	Bacteriophage_KP32	Podo	RBP	576
AVZ45096|Escherichia|Bacteriophage_EP335|Podo|RBP	AVZ45096	Escherichia	Bacteriophage_EP335	Podo	RBP	729
YP_001671760.1|Escherichia|Bacteriophage_PhiEco32|Podo|RBP	YP_001671760.1	Escherichia	Bacteriophage_PhiEco32	Podo	RBP	722
AEL79676.1|Escherichia|Bacteriophage_vB_EcoP_G7C|Podo|RBP	AEL79676.1	Escherichia	Bacteriophage_vB_EcoP_G7C	Podo	RBP	1063
